#multi:
;masa A;;masa B;;masa C;;masa D;;masa E;;masa F;;masa G;;masa H;;masa I;;masa J;;masa K;;masa L;;masa M;;masa N;;masa O;;masa P;;masa Q;;masa R;;masa S;;
t;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;x;y;
0,000000E0;2,231847E-5;-5,620650E-5;6,040230E-5;-6,586140E-5;1,613385E-5;-2,662086E-5;6,524917E-5;-2,501578E-5;3,547118E-5;-2,342904E-5;1,983128E-5;-7,334430E-6;3,645270E-5;-7,865800E-5;4,513984E-5;-1,886263E-5;2,456600E-5;1,781879E-5;-5,839801E-6;7,794493E-6;-2,107303E-5;-7,988005E-5;-2,336260E-5;-6,457000E-5;2,590615E-6;-2,002619E-6;9,464645E-6;-3,986152E-5;-2,391538E-5;-3,589346E-5;-4,773834E-7;-3,149693E-5;8,723584E-5;2,102976E-5;1,027629E-4;1,774481E-5;6,900648E-5;1,393971E-5
6,666222E-2;2,244131E-5;-5,632330E-5;6,052071E-5;-6,587068E-5;1,610216E-5;-2,656910E-5;6,531210E-5;-2,486055E-5;3,541870E-5;-2,332546E-5;1,983300E-5;-7,275241E-6;3,650059E-5;-7,854224E-5;4,508396E-5;-1,891974E-5;2,457633E-5;1,777834E-5;-5,841441E-6;8,051508E-6;-2,098039E-5;-7,979926E-5;-2,340247E-5;-6,458481E-5;2,548084E-6;-2,100749E-6;9,461762E-6;-3,991369E-5;-2,392627E-5;-3,587467E-5;-4,269984E-7;-3,151013E-5;8,726208E-5;2,105695E-5;1,028316E-4;1,759782E-5;6,909355E-5;1,393113E-5
1,333244E-1;2,241533E-5;-5,626599E-5;6,049122E-5;-6,576902E-5;1,611150E-5;-2,657166E-5;6,527174E-5;-2,486644E-5;3,538853E-5;-2,320397E-5;1,977026E-5;-7,073486E-6;3,648618E-5;-7,849513E-5;4,504185E-5;-1,890172E-5;2,462188E-5;1,782828E-5;-5,977198E-6;8,058578E-6;-2,086660E-5;-7,982984E-5;-2,340273E-5;-6,454164E-5;2,514348E-6;-1,979955E-6;9,383327E-6;-3,979394E-5;-2,401496E-5;-3,583292E-5;-4,774015E-7;-3,152597E-5;8,727297E-5;2,111577E-5;1,028770E-4;1,756142E-5;6,905710E-5;1,391235E-5
1,999867E-1;2,235344E-5;-5,626428E-5;6,041252E-5;-6,579562E-5;1,607738E-5;-2,655162E-5;6,534232E-5;-2,481444E-5;3,547956E-5;-2,316348E-5;1,979768E-5;-7,062150E-6;3,664361E-5;-7,855113E-5;4,505851E-5;-1,881233E-5;2,465361E-5;1,778082E-5;-5,984744E-6;8,129016E-6;-2,089901E-5;-7,977457E-5;-2,346365E-5;-6,456916E-5;2,549401E-6;-1,926560E-6;9,387405E-6;-3,979033E-5;-2,410975E-5;-3,584366E-5;-4,755086E-7;-3,155126E-5;8,726029E-5;2,117483E-5;1,028904E-4;1,765146E-5;6,898704E-5;1,397505E-5
2,666489E-1;2,229208E-5;-5,628671E-5;6,039674E-5;-6,578104E-5;1,604026E-5;-2,655357E-5;6,552920E-5;-2,466133E-5;3,544487E-5;-2,317268E-5;1,975743E-5;-6,994737E-6;3,688881E-5;-7,865238E-5;4,502597E-5;-1,873355E-5;2,475183E-5;1,784041E-5;-5,953837E-6;8,152870E-6;-2,089920E-5;-7,979155E-5;-2,336606E-5;-6,457700E-5;2,609158E-6;-1,863140E-6;9,374730E-6;-3,976272E-5;-2,414962E-5;-3,584860E-5;-4,768795E-7;-3,170683E-5;8,722359E-5;2,120962E-5;1,028888E-4;1,775412E-5;6,893431E-5;1,399666E-5
3,333111E-1;2,227667E-5;-5,629083E-5;6,038929E-5;-6,578280E-5;1,604360E-5;-2,667209E-5;6,552840E-5;-2,452360E-5;3,537351E-5;-2,327405E-5;1,970423E-5;-6,978662E-6;3,695398E-5;-7,867224E-5;4,508586E-5;-1,868009E-5;2,469130E-5;1,780184E-5;-5,923782E-6;8,244711E-6;-2,089233E-5;-7,984182E-5;-2,338469E-5;-6,469172E-5;2,624796E-6;-1,779388E-6;9,322253E-6;-3,977389E-5;-2,424248E-5;-3,596575E-5;-4,109841E-7;-3,164256E-5;8,726220E-5;2,113229E-5;1,028688E-4;1,776381E-5;6,880953E-5;1,394981E-5
3,999733E-1;2,218576E-5;-5,632274E-5;6,034556E-5;-6,579920E-5;1,615600E-5;-2,672945E-5;6,556353E-5;-2,440992E-5;3,547960E-5;-2,318633E-5;1,971959E-5;-6,965934E-6;3,708112E-5;-7,868903E-5;4,506414E-5;-1,868444E-5;2,482015E-5;1,767918E-5;-5,939050E-6;8,219048E-6;-2,083993E-5;-7,975222E-5;-2,335884E-5;-6,461149E-5;2,648552E-6;-1,630595E-6;9,389044E-6;-3,997518E-5;-2,422123E-5;-3,596519E-5;-3,762486E-7;-3,160519E-5;8,723651E-5;2,106737E-5;1,029411E-4;1,764633E-5;6,888342E-5;1,403050E-5
4,666356E-1;2,213116E-5;-5,639195E-5;6,047606E-5;-6,574046E-5;1,606053E-5;-2,689414E-5;6,567109E-5;-2,430813E-5;3,562042E-5;-2,320880E-5;1,975259E-5;-7,080650E-6;3,693433E-5;-7,883026E-5;4,501052E-5;-1,871389E-5;2,495850E-5;1,764783E-5;-5,980676E-6;8,159845E-6;-2,089234E-5;-7,970434E-5;-2,330889E-5;-6,455497E-5;2,710132E-6;-1,676376E-6;9,456763E-6;-4,005613E-5;-2,435190E-5;-3,626782E-5;-5,133511E-7;-3,161115E-5;8,724683E-5;2,109112E-5;1,028347E-4;1,778417E-5;6,889540E-5;1,414928E-5
5,332978E-1;2,213465E-5;-5,640754E-5;6,041108E-5;-6,566938E-5;1,613524E-5;-2,686138E-5;6,574168E-5;-2,432429E-5;3,569662E-5;-2,314909E-5;1,961376E-5;-7,222232E-6;3,675625E-5;-7,887279E-5;4,499072E-5;-1,869674E-5;2,507257E-5;1,762851E-5;-5,909700E-6;8,201330E-6;-2,088013E-5;-7,974362E-5;-2,343621E-5;-6,460673E-5;2,704454E-6;-1,794840E-6;9,500484E-6;-4,002067E-5;-2,437957E-5;-3,627017E-5;-6,162730E-7;-3,168675E-5;8,720161E-5;2,110363E-5;1,027572E-4;1,786259E-5;6,889245E-5;1,417835E-5
5,999600E-1;2,222311E-5;-5,645341E-5;6,043225E-5;-6,544294E-5;1,608764E-5;-2,683839E-5;6,575646E-5;-2,426128E-5;3,577691E-5;-2,313141E-5;1,964250E-5;-7,314363E-6;3,678144E-5;-7,884173E-5;4,500634E-5;-1,872439E-5;2,505807E-5;1,760755E-5;-6,006051E-6;8,122451E-6;-2,105186E-5;-7,979300E-5;-2,348589E-5;-6,465814E-5;2,722023E-6;-1,867301E-6;9,374575E-6;-3,993002E-5;-2,426493E-5;-3,624713E-5;-5,656561E-7;-3,166349E-5;8,718993E-5;2,109100E-5;1,027602E-4;1,785621E-5;6,908155E-5;1,428388E-5
