#multi:
;masa A;;masa B;;masa C;;
t;x;y;x;y;x;y;
0,000000E0;2,793731E-5;-4,617128E-5;2,785429E-5;-4,492593E-5;2,631836E-5;-4,612977E-5
6,666222E-2;2,792798E-5;-4,616254E-5;2,783974E-5;-4,491400E-5;2,630521E-5;-4,612025E-5
1,333244E-1;2,794041E-5;-4,616154E-5;2,784131E-5;-4,491279E-5;2,631491E-5;-4,611879E-5
1,999867E-1;2,793518E-5;-4,616394E-5;2,783899E-5;-4,490980E-5;2,630924E-5;-4,611478E-5
2,666489E-1;2,794509E-5;-4,614530E-5;2,784932E-5;-4,490128E-5;2,631841E-5;-4,610572E-5
3,333111E-1;2,794489E-5;-4,616636E-5;2,785543E-5;-4,490083E-5;2,631950E-5;-4,610887E-5
3,999733E-1;2,794575E-5;-4,616474E-5;2,785846E-5;-4,491150E-5;2,632013E-5;-4,611741E-5
4,666356E-1;2,793659E-5;-4,615335E-5;2,785056E-5;-4,490520E-5;2,631203E-5;-4,610735E-5
5,332978E-1;2,794567E-5;-4,615461E-5;2,785726E-5;-4,490810E-5;2,632575E-5;-4,610978E-5
5,999600E-1;2,792731E-5;-4,614668E-5;2,784343E-5;-4,489461E-5;2,631103E-5;-4,609672E-5
6,666222E-1;2,791727E-5;-4,615334E-5;2,783374E-5;-4,490642E-5;2,630303E-5;-4,610874E-5
7,332844E-1;2,792212E-5;-4,617114E-5;2,783198E-5;-4,492232E-5;2,630052E-5;-4,612556E-5
7,999467E-1;2,793605E-5;-4,619408E-5;2,785316E-5;-4,495071E-5;2,632372E-5;-4,615445E-5
8,666089E-1;2,794483E-5;-4,617730E-5;2,786134E-5;-4,492412E-5;2,632542E-5;-4,612920E-5
9,332711E-1;2,793187E-5;-4,617230E-5;2,784894E-5;-4,492229E-5;2,631496E-5;-4,612653E-5
9,999333E-1;2,795386E-5;-4,618759E-5;2,786839E-5;-4,493849E-5;2,633001E-5;-4,614189E-5
1,066596E0;2,794563E-5;-4,616467E-5;2,785854E-5;-4,492643E-5;2,632511E-5;-4,612717E-5
1,133258E0;2,792316E-5;-4,616820E-5;2,784326E-5;-4,492600E-5;2,630636E-5;-4,612907E-5
1,199920E0;2,792443E-5;-4,615265E-5;2,784003E-5;-4,490759E-5;2,630356E-5;-4,611052E-5
1,266582E0;2,792734E-5;-4,616707E-5;2,784190E-5;-4,491828E-5;2,630677E-5;-4,612184E-5
