Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:16:04
Elapsed Time;00:00:54:968
Samples;904

--Statistics--
Minimum [W];1,725E-05
Maximum [W];0,04942
Mean [W];0,032583
Standard Deviation [W];0,015697
Ratio;2864,865 : 1

--Graph Data--
Time (ms);Power (W)
17383,591;0,022844
17443,280;0,022824
17503,280;0,02281
17562,949;0,022778
17622,949;0,022807
17683,626;0,022876
17743,626;0,022893
17803,305;0,022885
17863,305;0,02281
17922,985;0,022744
17982,985;0,022754
18042,693;0,022666
18102,693;0,022633
18163,342;0,022757
18224,342;0,022811
18283,020;0,022779
18342,020;0,022742
18403,719;0,022753
18462,719;0,022748
18522,719;0,022725
18582,695;0,022731
18642,695;0,022737
18702,404;0,02274
18762,404;0,022736
18822,083;0,022732
18882,083;0,022731
18941,733;0,022717
19001,733;0,022699
19062,411;0,022699
19122,411;0,022702
19182,089;0,022697
19242,089;0,022692
19301,768;0,022695
19361,768;0,022696
19421,477;0,022689
19481,477;0,022692
19541,127;0,022693
19601,127;0,022691
19661,805;0,022697
19721,805;0,0227
19781,484;0,022701
19841,484;0,022702
19901,163;0,022704
19961,163;0,022708
20021,163;0,022705
20080,682;0,0227
20140,682;0,022698
20201,359;0,022696
20261,359;0,022695
20321,038;0,022702
20381,038;0,022715
20440,717;0,022726
20500,717;0,022748
20560,396;0,022783
20620,396;0,022974
20681,073;0,023512
20741,073;0,024222
20800,752;0,024856
20860,752;0,025478
20920,431;0,026056
20980,431;0,026516
21042,106;0,027058
21100,106;0,027766
21166,771;0,02865
21219,771;0,029503
21280,468;0,030122
21339,468;0,030582
21401,143;0,031008
21460,143;0,031658
21520,143;0,032441
21579,688;0,032976
21639,688;0,033344
21699,344;0,03374
21759,344;0,034114
21819,023;0,034619
21879,023;0,035228
21939,701;0,035747
21999,701;0,036107
22059,408;0,036377
22119,408;0,036615
22179,062;0,036767
22239,062;0,036831
22300,733;0,036828
22358,733;0,036824
22419,415;0,036818
22479,415;0,03681
22539,094;0,036811
22599,094;0,036808
22658,773;0,036811
22718,773;0,036823
22780,448;0,03683
22838,448;0,036828
22898,448;0,036823
22957,972;0,036823
23017,972;0,036826
